race,horse,box,odds,trainer,jockey,margin
11R_第13回アルテミスステークス(GIII),ブラウンラチェット,2,4.7,[東] 手塚貴久,ルメール,0
11R_第13回アルテミスステークス(GIII),ミストレス,1,15.6,[西] 矢作芳人,坂井瑠星,1.1/4
11R_第13回アルテミスステークス(GIII),ショウナンザナドゥ,8,4.1,[西] 松下武士,池添謙一,1.1/4
11R_第13回アルテミスステークス(GIII),シホリーン,4,6.6,[東] 武井亮,菅原明良,1.3/4
11R_第13回アルテミスステークス(GIII),マイエレメント,3,6.3,[西] 福永祐一,横山武史,2
11R_第13回アルテミスステークス(GIII),カムニャック,10,3.1,[西] 友道康夫,川田将雅,2.1/4
11R_第13回アルテミスステークス(GIII),マピュース,6,57.9,[東] 和田勇介,田辺裕信,3
11R_第13回アルテミスステークス(GIII),クレオズニードル,11,79.9,[東] 和田勇介,津村明秀,4.1/4
11R_第13回アルテミスステークス(GIII),ミリオンローズ,5,13.4,[東] 萩原清,戸崎圭太,5.1/4
11R_第13回アルテミスステークス(GIII),ザラタン,9,217.2,[西] 中竹和也,北村宏司,5.3/4
11R_第13回アルテミスステークス(GIII),キョウエイボニータ,7,122.6,[東] 伊藤伸一,松岡正海,6
1R_2歳未勝利,クラリネットソナタ,3,2.8,[東] 田中博康,川田将雅,0
1R_2歳未勝利,エンプレスフレーム,11,2.7,[東] 上原博之,原優介,1/2
1R_2歳未勝利,ダカラフェスティヴ,6,8.6,[東] 奥平雅士,小林脩斗,4
1R_2歳未勝利,ベラヴィットーリア,2,56.0,[西] 高柳大輔,菅原明良,1
1R_2歳未勝利,ライズトゥザトップ,12,26.2,[東] 牧光二,野中悠太,2
1R_2歳未勝利,ペンテリコン,4,16.7,[西] 武幸四郎,津村明秀,アタマ
1R_2歳未勝利,ラウレア,10,10.6,[東] 伊藤大士,北村宏司,1.1/4
1R_2歳未勝利,ヒルビリーエレジー,9,65.7,[東] 戸田博文,吉田豊,2.1/2
1R_2歳未勝利,フミエ,1,270.6,[東] 西田雄一,木幡初也,1.1/4
1R_2歳未勝利,ミストラルフェザー,7,5.6,[西] 茶木太樹,ルメール,3/4
1R_2歳未勝利,アエル,5,126.7,[東] 宗像義忠,丸田恭介,1.3/4
1R_2歳未勝利,キタノラブミー,8,72.0,[東] 萱野浩二,松岡正海,3/4
2R_2歳未勝利,リアライズオーラム,4,3.5,[西] 須貝尚介,川田将雅,0
2R_2歳未勝利,ピエナフェーヴル,10,5.0,[東] 萱野浩二,菅原明良,1.1/4
2R_2歳未勝利,レイデラティエラ,3,30.0,[西] 小崎憲,戸崎圭太,クビ
2R_2歳未勝利,スワローシチー,6,14.7,[東] 相沢郁,石川裕紀,アタマ
2R_2歳未勝利,グロスビーク,1,1.5,[東] 田中博康,ルメール,1/2
2R_2歳未勝利,ジュラ,7,158.0,[東] 小手川準,原優介,1.1/2
2R_2歳未勝利,フィーリウス,8,64.1,[東] 手塚貴久,木幡巧也,1.1/4
2R_2歳未勝利,ユーウェイン,11,315.9,[東] 宗像義忠,丸田恭介,2
2R_2歳未勝利,チャールズテソーロ,9,445.0,[東] 武市康男,柴田大知,1
2R_2歳未勝利,マイネルイグザルト,2,60.2,[西] 西園正都,横山武史,1/2
2R_2歳未勝利,パルファム,5,447.5,[東] 菊川正達,野中悠太,2